"participant_id","n_hf_first_shown","n_hf_fa","fa_rate"
232,96,15,0.15625
235,96,22,0.229166666666667
236,96,15,0.15625
241,96,21,0.21875
242,96,2,0.0208333333333333
243,96,7,0.0729166666666667
245,64,9,0.140625
246,96,6,0.0625
247,96,4,0.0416666666666667
249,96,23,0.239583333333333
251,96,41,0.427083333333333
252,96,10,0.104166666666667
253,96,12,0.125
254,96,30,0.3125
256,96,18,0.1875
257,96,14,0.145833333333333
258,64,0,0
259,96,28,0.291666666666667
260,96,7,0.0729166666666667
261,96,25,0.260416666666667
262,96,6,0.0625
263,96,17,0.177083333333333
264,96,12,0.125
266,96,12,0.125
267,96,20,0.208333333333333
269,96,3,0.03125
270,96,1,0.0104166666666667
273,96,6,0.0625
276,96,12,0.125
277,96,21,0.21875
279,96,10,0.104166666666667
280,96,8,0.0833333333333333
281,96,37,0.385416666666667
282,96,24,0.25
283,96,6,0.0625
285,96,6,0.0625
286,96,12,0.125
289,96,9,0.09375
290,96,9,0.09375
292,96,38,0.395833333333333
293,96,9,0.09375
294,64,16,0.25
295,96,5,0.0520833333333333
296,96,12,0.125
297,64,20,0.3125
298,96,9,0.09375
302,96,18,0.1875
303,96,5,0.0520833333333333
304,96,18,0.1875
305,96,14,0.145833333333333
307,96,17,0.177083333333333
308,96,30,0.3125
309,96,5,0.0520833333333333
310,96,10,0.104166666666667
311,96,13,0.135416666666667
312,96,15,0.15625
313,96,41,0.427083333333333
314,96,14,0.145833333333333
316,96,14,0.145833333333333
317,96,23,0.239583333333333
318,96,12,0.125
322,96,23,0.239583333333333
323,96,6,0.0625
325,96,11,0.114583333333333
326,96,14,0.145833333333333
327,96,11,0.114583333333333
328,96,15,0.15625
329,96,8,0.0833333333333333
330,96,21,0.21875
331,96,6,0.0625
333,96,36,0.375
339,96,31,0.322916666666667
340,96,7,0.0729166666666667
342,96,41,0.427083333333333
343,96,30,0.3125
344,96,6,0.0625
346,64,25,0.390625
350,96,8,0.0833333333333333
351,96,22,0.229166666666667
354,96,10,0.104166666666667
355,96,7,0.0729166666666667
356,96,13,0.135416666666667
361,96,8,0.0833333333333333
362,96,11,0.114583333333333
363,96,18,0.1875
364,96,3,0.03125
366,96,20,0.208333333333333
367,64,26,0.40625
368,96,5,0.0520833333333333
369,96,11,0.114583333333333
370,96,17,0.177083333333333
371,96,8,0.0833333333333333
372,96,8,0.0833333333333333
373,64,25,0.390625
374,96,20,0.208333333333333
375,96,9,0.09375
377,96,21,0.21875
378,96,10,0.104166666666667
379,96,13,0.135416666666667
380,96,5,0.0520833333333333
381,96,33,0.34375
382,96,13,0.135416666666667
383,96,21,0.21875
384,96,9,0.09375
386,96,7,0.0729166666666667
390,96,15,0.15625
391,96,9,0.09375
392,96,23,0.239583333333333
395,96,13,0.135416666666667
396,96,5,0.0520833333333333
397,96,5,0.0520833333333333
398,96,16,0.166666666666667
